"Year","Month","Hours_watched","Avg_viewers","Peak_viewers","Streams","Avg_channels","Games_streamed"
"2016","1",480241904,646355,1275257,7701675,20076,12149
"2016","2",441859897,635769,1308032,7038520,20427,12134
"2016","3",490669308,660389,1591551,7390957,20271,12234
"2016","4",377975447,525696,1775120,6869719,16791,12282
"2016","5",449836631,605432,1438962,7535519,19394,12424
"2016","6",446429345,620903,1755888,6663363,18818,12374
"2016","7",446331825,600715,1453743,7336215,18030,12961
"2016","8",382117373,514289,1334490,6837386,16592,13693
"2016","9",362833210,504635,1186009,6623528,16880,13484
"2016","10",453035001,609737,1549150,6771852,19250,13973
"2016","11",449688428,625435,1410023,6084871,20715,13968
"2016","12",490484523,660140,1385864,7848796,22291,14033
"2017","1",601251200,809220,2284184,8672879,24081,14841
"2017","2",500932308,746545,1524883,7166517,24219,14737
"2017","3",516399977,695020,1500730,5970626,23094,14794
"2017","4",535431301,744688,1823848,5507554,22078,15007
"2017","5",506927522,682271,1514023,8019065,22362,15276
"2017","6",510832330,710476,1935516,8053586,23412,15393
"2017","7",566899230,762986,1802287,8802016,25810,15962
"2017","8",533450366,717968,1824303,8358509,24711,15898
"2017","9",527591318,733784,1519456,7844109,25038,15804
"2017","10",585177534,787587,1835725,8479007,25723,15847
"2017","11",575551503,800488,1532756,8526330,26768,16532
"2017","12",573137507,771382,1496306,9288649,28181,16871
"2018","1",720220030,969340,2315343,11222734,33580,18309
"2018","2",615710441,917601,1735587,10729066,35548,18667
"2018","3",721341613,970850,2399946,13495972,38981,19274
"2018","4",729326135,1014361,2009005,13101238,39491,19132
"2018","5",762177378,1025810,1714327,13869534,38746,19011
"2018","6",789065029,1097447,2847241,13888432,39761,18833
"2018","7",796242999,1071659,1974783,14910026,41629,19290
"2018","8",855860641,1151898,3929074,15769306,44383,19233
"2018","9",815061013,1133603,2431863,15005606,44246,18526
"2018","10",852724761,1147678,2093870,14934884,43558,18524
"2018","11",865630693,1203936,2515155,14422767,45464,18789
"2018","12",845969862,1138586,2021262,16271867,48190,19156
"2019","1",949050474,1277322,2278352,17042119,55853,19995
"2019","2",881506851,1313721,2624711,15578420,56375,19573
"2019","3",947733580,1275549,2630058,16718941,55019,20457
"2019","4",888326199,1235502,2368981,15708616,51328,20536
"2019","5",939520272,1264495,2607531,15520889,48357,20751
"2019","6",939126720,1306156,3496976,14499225,47953,20209
"2019","7",916692478,1233771,2933491,14790881,48111,20106
"2019","8",999177398,1344787,2563475,14678509,48508,20421
"2019","9",878083331,1221256,2817054,13284517,46242,19869
"2019","10",900334210,1211755,2993052,13220814,45185,19904
"2019","11",879157590,1222750,2906707,12939422,45655,20248
"2019","12",881497670,1186403,2692333,13781104,45688,20515
"2020","1",1010010231,1359367,2400513,15053038,52875,21249
"2020","2",981752149,1412593,2630587,13455714,53882,20748
"2020","3",1218370086,1639798,3402641,17302441,66090,22872
"2020","4",1792309113,2492780,4455065,17814917,93867,24646
"2020","5",1755760388,2363069,4043730,20203413,100486,25396
"2020","6",1629282927,2266040,6060464,18160561,94052,24780
"2020","7",1572595815,2116548,3965956,18859473,95781,25485
"2020","8",1620682345,2181268,3861619,19146406,96421,25714
"2020","9",1585511181,2205161,4816995,18150678,91978,29190
"2020","10",1774145250,2387813,4208725,19774827,95170,31922
"2020","11",1789235196,2488505,4380326,20176665,103929,32479
"2020","12",1877319317,2526674,4860624,22089295,107006,32840
"2021","1",2173794168,2925698,6516666,25614207,119448,34551
"2021","2",1979581961,2950196,5274617,24319608,122763,34594
