,channels,game_name,viewers
0,4654,Grand Theft Auto V,482305
1,5966,Just Chatting,377468
2,6217,League of Legends,227867
3,6572,VALORANT,161435
4,8705,Fortnite,148475
5,83,Little Nightmares II,97995
6,6955,Apex Legends,93512
7,89,Mario Kart 8,89078
8,1791,Tom Clancy's Rainbow Six Siege,80916
9,816,Garena Free Fire,77639
10,2230,Counter-Strike: Global Offensive,67548
11,2612,Rocket League,62828
12,5301,Minecraft,61304
13,5894,Call of Duty: Warzone,60961
14,941,Sea of Thieves,50632
15,865,Path of Exile,44608
16,2341,Dead by Daylight,40184
17,1485,NBA 2K21,34991
18,2420,World of Warcraft,33748
19,656,Dota 2,33040
20,545,Talk Shows & Podcasts,28177
21,1379,Escape from Tarkov,28155
22,1588,Music,25926
23,194,Diablo III,23790
24,172,Slots,23720
25,227,Hearthstone,23024
26,337,Dark Souls III,22440
27,2175,Call of Duty: Black Ops Cold War,20051
28,93,The Isle,19146
29,8178,Call Of Duty: Modern Warfare,18738
30,777,FIFA 21,17823
31,137,Poker,17084
32,240,Magic: The Gathering,16740
33,1599,Overwatch,16715
34,424,Monster Hunter Rise,15861
35,355,Rust,14618
36,160,ASMR,14606
37,152,Chess,14541
38,1203,Art,14109
39,132,Gartic Phone,13945
40,519,SMITE,13480
41,8,Battlerite,12491
42,212,Dofus,12337
43,16,War by Grow Games,12135
44,714,Genshin Impact,11812
45,28,XCOM 2,10518
46,377,Teamfight Tactics,10408
47,109,Resident Evil,10335
48,1178,Destiny 2,9903
49,617,MLB The Show 21,9157
50,914,PLAYERUNKNOWN'S BATTLEGROUNDS,9153
51,382,Super Smash Bros. Ultimate,8536
52,165,Forza Horizon 4,8221
53,527,It Takes Two,8055
54,298,The Binding of Isaac: Repentance,7889
55,392,Enlisted,7728
56,14,Weed Shop 3,7193
57,111,Street Fighter V,7024
58,983,Outriders,6905
59,9,Worms W.M.D,6832
60,68,Pokémon Platinum,6758
61,205,Old School RuneScape,6590
62,181,VRChat,6440
63,342,Retro,6428
64,484,ARK: Survival Evolved,6422
65,70,First Class Trouble,6365
66,54,Conqueror's Blade,6326
67,432,Tibia,6323
68,331,Halo: The Master Chief Collection,5941
69,156,Sports,5894
70,312,League of Legends: Wild Rift,5887
71,393,Dungeons & Dragons,5820
72,313,osu!,5510
73,22,Spyro the Dragon: Reignited Trilogy,5487
74,10,Trials Rising,5416
75,2,Tv star,5160
76,57,Legends of Runeterra,5145
77,42,NieR Replicant Ver.1.22474487139...,4925
78,635,Phasmophobia,4902
79,299,Pokémon Sword/Shield,4807
80,913,FINAL FANTASY XIV Online,4785
81,236,Black Desert Online,4762
82,170,The Legend of Zelda: Breath of the Wild,4720
83,23,Hobo: Tough Life,4503
84,340,Hunt: Showdown,4348
85,87,StarCraft II,4287
86,78,LOST ARK,4207
87,5,TV Guide,4053
88,198,Animal Crossing: New Horizons,3988
89,48,Slay the Spire,3917
90,350,DayZ,3851
91,306,Science & Technology,3840
92,127,Pokémon Trading Card Game,3810
93,89,Food & Drink,3716
94,686,Roblox,3596
95,61,Pokémon GO,3492
96,57,Clash Royale,3259
97,48,Super Mario World,3228
98,451,Among Us,3209
